fq	label
我已办有惠民卡还能再办信用卡唉	230
我们办的贷款怎么还没到	228
自动取款机转账错了咋办	162
我要在手机上还货款怎么操作	461
按日贷有手续费吗	243
没有签约过自助设备转账协议可以转多少钱	219
办理外汇业务的时间	165
贷记卡到期了能改地址吗	232
申请农村信用社的信用卡要什么资料吗	230
开放式和封闭式理财产品的区别在哪里	121
怎样才能贷款呢	228
办理按日贷会赠送积分吗	407
手机银行跨行转账有手续费吗	76
云南农信微信公众号	454
ATM存款为什么还收手续费	181
按日贷申请不成功的原因有哪些	10
如何办理ETC	266
我的借记卡我不要了	81
我想开通一下电子社保卡缴费	436
个人手机银行登录密码忘记怎么办	171
手机银行电子单查询	432
办理白金借记卡有什么条件	316
个人可以贷创业款吗	228
开放式理财产品好还是封闭式理财产品好	121
我的借记卡号是多少	63
临时额度怎么调	289
资金已经被转出	60
信用卡在那里办	230
按日贷还款应该存在哪张卡	122
收不到短信验证码微信无法绑定银行卡	124
贫困户不是有免利息贷款吗	228
我要了解一下信用卡利息计收规则	192
怎么缴纳党费	238
银行卡绑定到微信预留了号码说没有预留号码	124
如何在微银行平台申请信用卡永久额度	288
贷计卡续卡寄送地址如何修改	232
信用卡到期新卡寄送换地址	232
都已经信用卡还款后额度但没有恢复是什么原因	40
可以通过哪些渠道重置手机银行登录密码	171
我的手机银行登陆密码忘记了要怎么修改	171
公积金消费贷款申请	228
误收贷款信息如何处理	39
你有喜欢的人吗	42
金碧财大卡有什么功能	53
贷款还不了	461
想申请助学贷款需要那些资料呢	228
网银销户后UK还能使用吗	242
可以在手机上申请贷款吗	228
我的个人网上银行支付限额了怎么办	455
个人网银登录密码输错几次会被锁定	45
ATM转账到账时间	159
对公业务在企业网卡可以自助缴费吗	333
借记卡安全锁开通的操作流程	278
我可以跟你行贷款修房子吗	228
个人网银PIN码输错几次会被锁定	262
在这里可以还信用社的贷款吗	461
自助设备有卡存款需要输入交易密码吗	448
请问如何将活期存款转存为定期的	236
信用卡的钱怎么还	109
怎样区分ApplePay实体卡和设备卡	1
在线自助注册开通的个人手机银行具有哪些功能权限	327
支付宝提现为什么还没到账	450
个人手机银行资金安全险承保范围	29
我的信用卡预留号码错了还没有激活怎么办	459
信用卡申请流程	19
签约自助设备转账协议需要到开户行办理吗	208
有没有每年只还利息的贷款	228
存折挂失但记不得账号怎么办	460
手机银行扫一扫如何开通	36
为什么我的银行卡绑定不了微信	482
我的贷款可以从手机银行里还吗	461
提示客户信息有误请至柜台核对客户信息再注册同一户名下才能关联是什么原因	141
个人手机银行手续费标准	76
我的贷款能改为分期吗	228
账单分期受贷记卡安全锁的控制吗	271
办信用卡	230
我需要提前还现金分期	12
能不能查一下贷记卡的卡号	209
信用卡有效期限到了咋过补卡	77
事业单位职工我想贷贷款可以贷多少	228
为什么我的逾期超过五年了还没注销	342
我的银行卡被其他银行的自助设备吞卡了	160
通过他行网上银行证书版转我行账号与户名不符怎么办	237
信用卡怎么还没收到	19
按日贷今天到期系统会自动扣款吗	122
我想在手机货款可以嘛	228
商城退货后积分什么时候退回	110
个人住房货款需要提交的材料	228
个人网上银行证书版转账限额已经修改成功还是提示转账限额超限是什么情况	201
我在自助设备上进行的转账转错了可以撤回吗	162
贷记卡怎样修改小额免密限额	139
请问现在要怎么才能够办理贷款利息结算	461
怎么才能办到信用卡	230
关闭借记卡安全锁的渠道	279
开通借记卡电话短信通知	108
最近农村无息贷款有哪些	228
我从建行个人网上银行转帐到信用社为什么没到账	38
个人网银证书版网关支付支持存折吗	125
交通罚款通过个人手机银行怎样怎样缴纳	222
现金分期可以提前还款吗	12
柜员机转账限额是多少	219
通过他行手机银行转我行账户账号错了怎么办	134
信用卡怎么办呢	230
想了解一下贷房贷需要些什么条件	228
信用卡现金分期后可以提前还清吗	12
我想把定期存款转为活期存款怎么办理呢	102
按日贷需要每个月偿还利息吗	122
如何关掉借记卡短信提醒	151
汇错名字了可以退回吗	433
我要怎么消费才能减免白金贷记卡卡年费	452
信用卡有哪些申请渠道	230
军人抚优卡有什么特点	264
我的贷记卡有几张	443
个人网上银行证书版登录密码和交易密码有何不同	72
为什么没有交易提醒	135
手机银行可以不可以存定期存款	236
信用卡怎么样申请	230
我是军人家属能办军人优抚卡吗	263
手机银行转账提示他行拒绝怎么处理	26
按日贷还款方式	122
我的手机号不对我想改正来邦定微信	124
按日贷款怎么查询	128
个人手机银行登录帐号是身份证号码吗	498
手机银行移动支付业务介绍	75
积分兑换商品多久扣贷记卡积分	358
在国外能取多少现金	93
企业网上银行代发工资造成总金额与总笔数不符的原因有哪些	118
自助设备本人账户互转是实时到账吗	159
储蓄卡账户消户	81
请问你们的信用卡在这里怎么办	230
按日贷还款后收到了借记卡扣款信息但是没有收到贷记卡入账信息	101
信用卡多久能办理下来	19
为什么在微信公众号里面不可以申请贷款呢	228
取消借记卡短信服务	151
按日贷手续费是否是自扣入账还款	122
借记卡短信提醒起发金额	325
CVV2定义	493
存款机当日累计可以取多少钱	462
可分期金额过低什么意思	305
我可以办理军人优抚卡吗	263
我想把我的贷记卡积分兑换成体检积分	414
分期有时间限制吗	190
在信用社网址上如何下载手机银行	221
我使用个人手机银行购买理财时报错该账号未签约意思是要签约什么呢	41
我想办理贷记卡	230
云南农信手机银行账户签约	251
贷记卡积分商城查询	307
农村信用社的信用卡怎么申请	230
老人去世后她的钱怎么办	335
办理现金分期的流程	107
按日贷可以直接现金存款到信用卡上还款吗	122
帮我查看一下我的企业网上银行的登录密码是什么	17
为什么我的转出不提醒100元一下的	48
校园卡充值不到账	258
如何使用微信银行申请贷款	228
怎样可以办理贷款	228
借记卡我想退出短信提醒功能怎么做	151
贷记卡卡号查询	209
PIN码是什么	97
校园贷记卡发卡对象	276
手机银行扫一扫是通过移动支付款吗	75
打电话可以查询我的储蓄卡最近消费明细吗	71
我要激活国际汇款功能	500
国际汇款功能去哪里激活	500
借记卡丢了补卡需要多少钱	387
我的贷记卡状态为因逾期而停用卡片怎么办	437
怎么在手机银行上预约网点业务	434
你好请问是不是有个业务小微企业贷款可以申请	228
可否申办信用社信用卡	230
我要改一下我的信用卡刷卡密码	206
请问我的卡怎么会无缘无故的被扣钱呀	60
我想知道银行卡上的钱没有用为什么会少掉	60
存折的取款密码可以修改吗	324
信用卡在哪里可以办理	230
真是非常棒的服务	323
贷记卡取现收取费用吗	32
怎样修改信用卡交易密码	206
我要办理外汇整存整取	3
手机银行上怎么添加银行卡	251
已经还了信用卡怎么还收到还款提示	31
绑定支付宝银行卡就会显示未预留手机号码	124
办理的信用卡一个月了还没到	19
银行卡跨境取款手续费标准	33
我想取消电话银行	438
我社信用卡是否支持他行账户还款	449
银行卡国外取款手续费怎么收取	33
电子银行怎么存定期	236
信用卡要多少天才能拿到	19
按日贷记不清开始时间了	128
货款到营业网点符合什么情况可以贷	228
如何申请农信金碧惠农贷记卡	230
交通违章手机上可以交吗	222
手机银行灵活分期提前还款流程	168
信用卡钱怎么变现	70
信用卡几天可以办好	19
如何才能申请货款	228
贷款利息在手机上如何操作手动偿还	461
他行手机银行转云南农信社多长时间能到账	38
使用个人网上银行证书版签约网关支付提示没有可以操作的账号是什么原因	125
请问下我的按日贷5月共申请了几笔	128
怎么通过手机银行缴水费	54
能不能把我的借记卡短信最低发送金额改改	48
如何开通网上贷款功能	228
微信可以还贷款吗	461
网上怎么咨询还贷款	228
咨询一下向你行贷款的问题	228
信用卡审核多久	19
什么是账单分期	257
信用卡逾期怎么还	343
按日贷怎么查询还款日	128
额度不足是什么情况	127
贷记卡关联自扣还款注意事项	464
你们这边还有贷款可申请吗	228
我想贷款	228
有信用卡申请吗	230
您当前使用的移动设备未绑定	255
手机银行上怎么添加账户	251
我想提升信用卡临时额度	289
关闭贷记卡短信交易提醒	200
我问问我能不能贷款	228
手机银行上能用微信账号吗	487
帮我信用卡永久额度调高点	288
在哪里可以查询按日贷	128
企业用户有手机APP么	326
96500能账单分期提前还款吗	354
他行手机银行支持对云南农信信用卡转账还款吗	449
可以预约转账吗	67
信用卡可以申请临时额度高额度不	289
我行卡在他行自助设备发生错账	470
信用卡多久才能办下来	19
我想查询一下贷款合同号码	419
信用卡积分兑换渠道	456
个人手机银行怎样活期转定期	236
行内转账自助设备转账撤销处理时间	49
体验积分可以做什么	413
贷款用手机可以吗	228
解除借记卡短信提醒服务	151
理财产品的开放期是什么	226
现金分期能不能提前还	12
怎么申请贷记卡	230
借记卡销户是否收费	429
贷记卡卡号查询渠道	209
信用卡丢了怎么办	15
如何查询储蓄卡号	63
帮我查询我的储蓄卡短信关闭了没有	427
云南农信微信公众号支持转账吗	225
申请的信用卡多久可以到	19
如何使用个人手机银行扫码转账进行收款	469
怎么退信用卡积分	490
按日贷怎么查询不了	128
货记卡已核发多久能收到	19
使用第三方平台进行交易不到账	450
能不能办信用卡	230
在手机银行上怎么把账户删除	250
大众版与证书版区别	154
短信银行怎么收费的	409
